ParcelNum	LastTransactDate	Address	PropCity	PropZipCode	Level01Area	UpperSqFtTotal	BsmtArea	LivingArea	YearBuilt	AssessValLand	AssessValImpr	GrossAssessVal	NetAssessVal	TotalAssessVal	SemiAnnualTax	TownshipName	county_name	PropUseCode	CoTaxId	Homestead	Mortgage	State Property ID
1007828	08/08/2006	2021 N LASALLE ST	INDIANAPOLIS	46218	901	0	893	901	1925	2600.0	60500.0	63100.0	63100.0	63100.0	707.76	CENTER	Marion	510	490732194123000101	0.0	0.0	490732194123000101
1012614	07/19/2007	2010 N LASALLE ST	INDIANAPOLIS	46218	730	0	0	730	1909	3100.0	48200.0	51300.0	51300.0	51300.0	577.9	CENTER	Marion	520	490732194088000101	0.0	0.0	490732194088000101
1007809	04/29/2008	1945 N LASALLE ST	INDIANAPOLIS	46218	1266	0	1256	1266	1928	2600.0	44500.0	47100.0	47100.0	47100.0	528.29	CENTER	Marion	510	490732194051000101	0.0	0.0	490732194051000101
1031008	12/22/1980	2003 N LASALLE ST	INDIANAPOLIS	46218	700	0	630	1330	1928	2600.0	39900.0	42500.0	11050.0	42500.0	177.66	CENTER	Marion	510	490732194118000101	25500.0	0.0	490732194118000101
1064310	10/28/2003	1954 N LASALLE ST	INDIANAPOLIS	46218	1044	0	960	1044	1925	2600.0	37700.0	40300.0	40300.0	40300.0	452.02	CENTER	Marion	510	490732194042000101	0.0	0.0	490732194042000101
1062417	08/02/2012	1946 N LASALLE ST	INDIANAPOLIS	46218	1248	0	936	1248	1946	2600.0	35400.0	38000.0	8286.0	38000.0	133.48	CENTER	Marion	510	490732194044000101	21660.0	3000.0	490732194044000101
1005618	06/04/2010	1998 N LASALLE ST	INDIANAPOLIS	46218	765	0	754	1519	1912	2600.0	34600.0	37200.0	37200.0	37200.0	417.25	CENTER	Marion	510	490732194045000101	0.0	0.0	490732194045000101
1052439	08/23/2007	2009 N LASALLE ST	INDIANAPOLIS	46218	552	360	0	912	1916	3100.0	32500.0	35600.0	35600.0	35600.0	401.8	CENTER	Marion	520	490732194120000101	0.0	0.0	490732194120000101
1007150	12/16/2005	1949 N LASALLE ST	INDIANAPOLIS	46218	870	0	870	870	1924	2600.0	30600.0	33200.0	33200.0	33200.0	372.38	CENTER	Marion	510	490732194054000101	0.0	0.0	490732194054000101
1088326	01/31/1997	1937 N LASALLE ST	INDIANAPOLIS	46218	432	0	0	432	1919	2600.0	30200.0	32800.0	32800.0	32800.0	367.9	CENTER	Marion	520	490732194243000101	0.0	0.0	490732194243000101
1083337	11/11/1992	1942 N LASALLE ST	INDIANAPOLIS	46218	972	0	972	972	1930	2600.0	29700.0	32300.0	32300.0	32300.0	371.78	CENTER	Marion	510	490732194263000101	0.0	0.0	490732194263000101
1055384	01/22/2008	2015 N LASALLE ST	INDIANAPOLIS	46218	865	0	0	865	1926	2600.0	29000.0	31600.0	31600.0	31600.0	354.44	CENTER	Marion	510	490732194121000101	0.0	0.0	490732194121000101
1032719	09/17/2007	1943 N LASALLE ST	INDIANAPOLIS	46218	760	0	760	1520	1922	2600.0	28900.0	31500.0	31500.0	31500.0	353.31	CENTER	Marion	510	490732194242000101	0.0	0.0	490732194242000101
1015787	04/02/2009	2018 N LASALLE ST	INDIANAPOLIS	46218	894	0	0	894	1923	2600.0	28500.0	31100.0	8086.0	31100.0	130.0	CENTER	Marion	510	490732194090000101	18660.0	0.0	490732194090000101
1028343	07/25/2002	1952 N LASALLE ST	INDIANAPOLIS	46218	748	0	748	748	1936	2600.0	28300.0	30900.0	30900.0	30900.0	346.59	CENTER	Marion	510	490732194043000101	0.0	0.0	490732194043000101
1072795	04/30/2007	3212 E 20TH ST	INDIANAPOLIS	46222	922	0	922	922	1924	2800.0	26800.0	29600.0	29600.0	29600.0	332.01	CENTER	Marion	510	490732191002000101	0.0	0.0	490732191002000101
1088327	01/29/2013	2016 N LASALLE ST	INDIANAPOLIS	46218	864	0	0	864	1951	2600.0	25300.0	27900.0	0.0	27900.0	0.0	CENTER	Marion	510	490732194089000101	16740.0	3000.0	490732194089000101
1058638	12/23/2009	1940 N LASALLE ST	INDIANAPOLIS	46218	1344	0	1344	1344	1930	2600.0	23600.0	26200.0	26200.0	26200.0	293.87	CENTER	Marion	510	490732194262000101	0.0	0.0	490732194262000101
1052385	03/24/2003	1947 N LASALLE ST	INDIANAPOLIS	46218	748	0	748	748	1920	2600.0	23500.0	26100.0	26100.0	26100.0	300.75	CENTER	Marion	510	490732194052000101	0.0	0.0	490732194052000101
1001914	05/18/1993	2008 N LASALLE ST	INDIANAPOLIS	46218	1056	0	0	1056	1951	2200.0	20200.0	22400.0	22400.0	22400.0	251.25	CENTER	Marion	510	490732194087000101	0.0	0.0	490732194087000101
1001915	08/10/2010	2004 N LASALLE ST	INDIANAPOLIS	46218	720	0	0	720	1950	2200.0	20000.0	22200.0	0.0	22200.0	0.0	CENTER	Marion	510	490732194086000101	13320.0	3000.0	490732194086000101
1055385	05/16/2012	2017 N LASALLE ST	INDIANAPOLIS	46218	820	0	0	820	1918	2600.0	19100.0	21700.0	0.0	21700.0	0.0	CENTER	Marion	680	490732194122000101	0.0	0.0	490732194122000101
1093790	10/26/2005	3226 E 20TH ST	INDIANAPOLIS	46218	720	0	0	720	1950	2200.0	17800.0	20000.0	20000.0	20000.0	224.33	CENTER	Marion	510	490732194085000101	0.0	0.0	490732194085000101
1002184	08/24/2007	3216 E 20TH ST	INDIANAPOLIS	46218	874	0	437	874	1922	2800.0	9900.0	12700.0	12700.0	12700.0	142.45	CENTER	Marion	510	490732191001000101	0.0	0.0	490732191001000101
1025870	07/16/1979	2005 N LASALLE ST	INDIANAPOLIS	46218	467	408	0	875	1947	3100.0	4900.0	8000.0	8000.0	8000.0	92.23	CENTER	Marion	520	490732194119000101	0.0	0.0	490732194119000101
1048330	04/10/2012	2022 N LASALLE ST	INDIANAPOLIS	46218	682	0	0	682	1950	3100.0	4700.0	7800.0	0.0	7800.0	0.0	CENTER	Marion	520	490732194091000101	0.0	0.0	490732194091000101
1011733	04/29/1998	1959 N LASALLE ST	INDIANAPOLIS	46218	1062	0	780	1842	1910	2600.0	3800.0	6400.0	6400.0	6400.0	71.78	CENTER	Marion	510	490732194053000101	0.0	0.0	490732194053000101
